order_item_id,order_id,product_id,quantity,list_price,discount_pct,selling_price,profit
1,1936,507,1.0,593.07,0.0,593.07,306.73
2,1092,1632,1.0,2440.71,5.0,2318.67,1000.78
3,1350,1115,2.0,2294.4,20.0,1835.52,1223.52
4,675,530,1.0,1492.96,0.0,1492.96,672.34
5,1686,193,1.0,706.72,0.0,706.72,340.4
6,353,1576,1.0,1747.31,15.0,1485.21,613.17
7,262,1480,1.0,2335.94,0.0,2335.94,1305.47
8,1609,1809,1.0,764.24,0.0,764.24,325.09
9,1061,1135,2.0,2178.51,10.0,1960.66,1300.02
10,316,1725,1.0,755.72,15.0,642.36,319.7
11,1062,760,1.0,2078.46,0.0,2078.46,1186.9
12,1712,536,1.0,1762.98,0.0,1762.98,821.44
13,465,941,1.0,1591.07,20.0,1272.86,324.46
14,463,13,2.0,1441.31,15.0,1225.11,851.98
15,1071,1960,1.0,1686.42,10.0,1517.78,537.48
16,9,1647,2.0,2167.29,0.0,2167.29,2322.52
17,786,1627,1.0,1973.11,0.0,1973.11,1131.86
18,558,399,2.0,1026.21,15.0,872.28,760.32
19,1537,1262,1.0,644.1,15.0,547.48,272.23
20,423,742,1.0,1954.43,0.0,1954.43,1093.67
21,956,244,1.0,2271.24,20.0,1816.99,718.19
22,207,1011,1.0,2381.69,0.0,2381.69,1297.75
23,1419,1652,2.0,1136.35,15.0,965.9,645.12
24,1857,3979,1.0,2020.98,5.0,1919.93,844.9
25,3864,1786,2.0,1834.29,0.0,1834.29,1833.3
26,940,5354,1.0,462.28,0.0,462.28,184.21
27,1544,653,1.0,874.59,0.0,874.59,379.4
28,516,6750,1.0,1420.5,0.0,1420.5,809.26
29,1869,833,1.0,1293.05,30.0,905.13,137.67
30,1293,1127,1.0,557.79,0.0,557.79,268.66
31,1111,871,1.0,2209.06,20.0,1767.25,513.87
32,71,526,1.0,1326.06,0.0,1326.06,727.88
33,1180,1022,1.0,1116.44,0.0,1116.44,447.85
34,1502,282,1.0,1673.65,30.0,1171.56,158.78
35,784,1507,3.0,874.95,10.0,787.46,999.24
36,1308,742,1.0,1954.43,0.0,1954.43,1093.67
37,1576,703,1.0,398.54,0.0,398.54,226.2
38,198,1673,1.0,656.19,0.0,656.19,379.75
39,418,620,2.0,1860.06,20.0,1488.05,832.14
40,1050,1930,1.0,2014.33,30.0,1410.03,554.16
41,1534,1583,1.0,2276.62,0.0,2276.62,989.25
42,1061,875,1.0,1623.42,10.0,1461.08,485.85
43,923,1098,1.0,777.53,15.0,660.9,199.56
44,1631,1706,2.0,1167.89,30.0,817.52,314.88
45,824,1636,3.0,2122.93,0.0,2122.93,3224.58
46,113,1623,1.0,2225.58,0.0,2225.58,954.36
47,436,1692,1.0,1266.78,0.0,1266.78,598.75
48,1580,327,1.0,1673.98,0.0,1673.98,931.95
49,1303,839,1.0,2158.32,15.0,1834.57,734.55
50,1945,111,2.0,1177.38,15.0,1000.77,945.68
51,1352,1869,1.0,1468.06,5.0,1394.66,495.61
52,1648,842,1.0,848.25,10.0,763.42,272.69
53,1369,54,1.0,912.4,0.0,912.4,351.18
54,749,533,2.0,2390.54,15.0,2031.96,1673.42
55,1209,1948,3.0,2211.01,0.0,2211.01,2921.7
56,348,1835,1.0,1236.31,0.0,1236.31,550.79
57,326,1104,1.0,697.34,0.0,697.34,291.84
58,1618,78,1.0,2102.13,,1997.02,727.39
59,1549,1457,1.0,1916.81,0.0,1916.81,866.11
60,559,1090,1.0,2145.33,0.0,2145.33,895.95
61,983,933,2.0,681.69,0.0,681.69,694.2
62,1327,837,1.0,642.57,10.0,578.31,276.19
63,884,119,1.0,1235.83,5.0,1174.04,483.0
64,700,1516,1.0,833.31,0.0,833.31,378.88
65,1037,1966,1.0,2133.02,20.0,1706.42,521.24
66,431,811,0.0,2486.23,10.0,2237.61,1012.83
67,1972,255,1.0,462.28,0.0,462.28,184.21
68,1387,1895,1.0,1584.33,15.0,1346.68,680.2
69,614,491,1.0,1384.97,5.0,1315.72,701.26
70,754,1751,1.0,1574.82,0.0,1574.82,869.93
71,1781,1073,1.0,2198.59,15.0,1868.8,584.35
72,1032,596,1.0,1687.16,5.0,1602.8,837.02
73,995,1685,1.0,588.96,5.0,559.51,269.59
74,918,221,2.0,618.73,5.0,587.79,501.36
75,626,431,1.0,848.6,15.0,721.31,272.63
76,1798,1976,-1.0,717.65,15.0,610.0,190.4
77,624,596,2.0,1687.16,20.0,1349.73,1167.9
78,924,1170,1.0,1116.69,0.0,1116.69,443.12
79,107,223,1.0,759.64,10.0,683.68,272.63
80,550,683,1.0,897.45,15.0,762.83,256.8
81,1295,1718,2.0,2048.68,0.0,2048.68,2370.18
82,2000,1925,1.0,576.24,0.0,576.24,285.25
83,1487,1908,1.0,1448.14,5.0,1375.73,712.51
84,1588,97,3.0,2059.55,0.0,2059.55,3294.75
85,1262,416,1.0,1392.97,0.0,1392.97,675.42
86,1384,661,1.0,753.89,0.0,753.89,320.69
87,1849,1768,1.0,1430.07,10.0,1287.06,537.12
88,1670,650,3.0,591.48,0.0,591.48,771.42
89,628,248,1.0,1388.92,0.0,1388.92,784.72
90,1578,683,,897.45,0.0,897.45,391.42
91,1439,1916,1.0,2481.83,0.0,2481.83,1363.53
92,708,734,1.0,1002.63,15.0,852.24,313.26
93,1814,617,1.0,2245.17,10.0,2020.65,684.51
94,1083,1777,1.0,611.45,0.0,611.45,253.83
95,1190,1734,1.0,1356.93,20.0,1085.54,258.21
96,1771,1175,2.0,2433.53,30.0,1703.47,970.64
97,1154,638,1.0,541.3,0.0,541.3,261.46
98,979,992,2.0,1716.26,0.0,1716.26,1815.8
99,1273,1981,1.0,631.11,0.0,631.11,313.26
100,455,4356,1.0,922.18,5.0,876.07,435.33
101,1297,343,1.0,2457.03,5.0,2334.18,1135.84
102,25,1863,1.0,1167.24,0.0,1167.24,533.96
103,1124,1603,2.0,1851.95,0.0,1851.95,1722.72
104,535,1980,1.0,948.41,0.0,948.41,448.3
105,1603,1794,1.0,334.41,0.0,334.41,190.13
106,389,99,1.0,1221.08,0.0,1221.08,601.79
107,628,197,2.0,2166.25,0.0,2166.25,2050.72
108,1656,1871,2.0,2183.03,0.0,2183.03,2199.02
109,1528,699,2.0,774.97,0.0,774.97,881.28
