order_id,customer_id,store_id,order_date,order_status,payment_mode
1,135,1580,2026-05-26,Completed,Card
2,1992,833,2025-03-10,Completed,Cash
3,294,1668,2023-02-04,Completed,Card
4,1169,1711,2026-06-22,Completed,UPI
5,1592,1642,2026-02-13,Completed,UPI
6,653,667,2023-11-03,Completed,UPI
7,427,834,2023-12-28,Returned,upi
8,623,1413,2024-06-05,Completed,Card
9,967,424,2025-08-20,Completed,UPI
10,1660,566,2026-05-24,Completed,UPI
11,1970,774,2024-10-04,Completed,UPI
12,74,693,2026-04-19,Completed,Card
13,1047,33,2026-03-14,Completed,UPI
14,1924,1156,2023-11-27,Completed,Card
15,1812,1412,2026-01-26,Completed,UPI
16,1426,431,2025-02-13,Completed,Net Banking
17,1276,1808,2024-12-05,Completed,UPI
18,1946,1008,2023-07-23,Completed,UPI
19,2,456,,Completed,UPI
20,1007,1775,2023-01-28,Completed,UPI
21,1460,1809,2025-01-16,Completed,Card
22,740,1469,2024-12-07,Completed,UPI
23,1343,997,2023-01-02,Completed,UPI
24,1111,1794,2026-03-24,Completed,upi
25,1056,679,2024-08-20,Completed,UPI
26,1890,1636,2025-05-16,Completed,UPI
27,860,875,,Returned,Card
28,494,1216,2025-12-25,Returned,Cash
29,924,264,2025-01-24,Completed,Card
30,591,903,2024-08-28,Completed,Card
31,485,129,2023-09-26,Completed,Cash
32,1227,1780,2025-06-19,Completed,UPI
33,1012,804,2026-02-25,Completed,Card
34,694,651,2024-12-17,Returned,UPI
35,477,1566,2023-04-29,Returned,Card
36,953,477,2024-10-11,Completed,Net Banking
37,353,1436,2025-11-21,Completed,UPI
38,532,1332,2025-10-16,Completed,UPI
39,551,1760,2026-04-10,Completed,Cash
40,651,1127,2025-06-23,Completed,UPI
41,63,1709,2024-09-30,Completed,Cash
42,289,1067,2026-01-10,Completed,Card
43,1035,1844,2023-01-12,Completed,Card
44,1854,724,2026-03-30,,Card
45,598,42,2023-08-06,Returned,Card
