product_id,product_name,category,clothing_type,brand,list_price
1,Zudio Kids Women T-shirts #1,Women,T-shirts,Zudio Kids,1898.65
2,Zudio Denim Men Shoes #2,Men,Shoes,Zudio Denim,1342.86
3,Zudio Basics Women Skirts #3,Women,Skirts,Zudio Basics,1918.95
4,Zudio Kids Women Dresses #4,Women,Dresses,Zudio Kids,2030.21
5,Zudio Kids Kids Tops #5,Kids,Tops,Zudio Kids,2336.38
6,Zudio Active Women Skirts #6,Women,Skirts,Zudio Active,595.33
7,Zudio Kids Kids Sweaters #7,Kids,Sweaters,Zudio Kids,1210.62
8,Zudio Basics Kids Jeans #8,Kids,Jeans,Zudio Basics,2238.47
9,Zudio Basics Women Shirts #9,Women,Shirts,Zudio Basics,1443.78
10,Zudio Basics Women Shoes #10,Women,Shoes,Zudio Basics,2378.59
11,Zudio Trend Men Hoodies #11,Men,Hoodies,Zudio Trend,1341.48
12,Zudio Denim Women Skirts #12,Women,Skirts,Zudio Denim,862.89
13,Zudio Basics Women Jackets #13,Women,Jackets,Zudio Basics,1441.31
14,Zudio Kids Kids Jackets #14,Kids,Jackets,Zudio Kids,2196.55
15,Zudio Basics Women Dresses #15,Women,Dresses,Zudio Basics,1735.91
16,Zudio Active Kids Dresses #16,Kids,Dresses,Zudio Active,1371.58
17,Zudio Trend Men Shoes #17,Men,Shoes,Zudio Trend,1562.37
18,Zudio Basics Women Shirts #18,Women,Shirts,Zudio Basics,806.99
19,Zudio Active Women Shirts #19,Women,Shirts,Zudio Active,1243.94
20,Zudio Basics Men Dresses #20,Men,Dresses,Zudio Basics,2451.54
21,Zudio Kids Kids Shirts #21,Kids,Shirts,Zudio Kids,314.79
22,Zudio Kids Women Shirts #22,Women,Shirts,Zudio Kids,1840.89
23,Zudio Trend Women Shirts #23,Women,Shirts,Zudio Trend,2304.41
24,Zudio Denim Men Hoodies #24,Men,Hoodies,Zudio Denim,1950.37
25,Zudio Active Women Dresses #25,Women,Dresses,Zudio Active,1067.61
26,Zudio Active Men Dresses #26,Men,Dresses,Zudio Active,1675.63
27,Zudio Kids Women Tops #27,Women,Tops,Zudio Kids,1175.83
28,Zudio Kids Women T-shirts #28,Women,T-shirts,Zudio Kids,919.59
29,Zudio Denim Kids Tops #29,Kids,Tops,Zudio Denim,2171.81
30,Zudio Active Women Tops #30,Women,Tops,Zudio Active,1980.19
31,Zudio Kids Women Skirts #31,Women,Skirts,Zudio Kids,1947.3
32,Zudio Denim Kids Shirts #32,Kids,Shirts,Zudio Denim,861.84
33,Zudio Denim Kids Jackets #33,Kids,Jackets,Zudio Denim,2083.83
34,Zudio Kids Women Skirts #34,Women,Skirts,Zudio Kids,842.62
35,Zudio Trend Women Tops #35,Women,Tops,Zudio Trend,581.29
36,Zudio Kids Men T-shirts #36,Men,T-shirts,Zudio Kids,
37,Zudio Kids Women Tops #37,Women,Tops,Zudio Kids,1768.79
38,Zudio Basics Men Pants #38,Men,Pants,Zudio Basics,2224.99
39,Zudio Trend Kids Pants #39,Kids,Pants,Zudio Trend,2198.29
40,Zudio Trend Women Dresses #40,Women,Dresses,Zudio Trend,1833.28
41,Zudio Trend Men Dresses #41,Men,Dresses,Zudio Trend,895.32
42,Zudio Denim Women T-shirts #42,Women,T-shirts,Zudio Denim,2037.12
43,Zudio Active Men Shoes #43,Men,Shoes,Zudio Active,1619.79
44,Zudio Trend Men Sweaters #44,Men,Sweaters,Zudio Trend,2297.2
45,Zudio Basics Women Tops #45,Women,Tops,Zudio Basics,882.36
46,Zudio Trend Women Pants #46,Women,Pants,Zudio Trend,2130.97
47,Zudio Denim Women Pants #47,Women,Pants,Zudio Denim,1272.0
48,Zudio Trend Men T-shirts #48,Men,T-shirts,Zudio Trend,1023.18
49,Zudio Kids Women T-shirts #49,Women,T-shirts,Zudio Kids,2345.82
50,Zudio Active Women T-shirts #50,Women,T-shirts,Zudio Active,2205.98
51,Zudio Trend Kids Skirts #51,Kids,Skirts,Zudio Trend,1059.8
52,Zudio Trend Kids Shirts #52,Kids,Shirts,Zudio Trend,
53,Zudio Basics Women Shoes #53,Women,Shoes,Zudio Basics,638.7
54,Zudio Denim Kids Skirts #54,Kids,Skirts,Zudio Denim,912.4
55,Zudio Basics Kids Jeans #55,Kids,Jeans,Zudio Basics,972.32
56,Zudio Denim Men Shirts #56,Men,Shirts,Zudio Denim,1659.29
57,Zudio Denim Women Dresses #57,Women,Dresses,Zudio Denim,2368.47
58,Zudio Active Kids Jeans #58,Kids,Jeans,Zudio Active,1893.32
59,Zudio Basics Kids Pants #59,Kids,Pants,Zudio Basics,1614.23
60,Zudio Active Women Dresses #60,Women,Dresses,Zudio Active,708.24
