store_id,store_name,city,state,tier,phone,email,open_date,selling_area_sqft,staff_count
1,Zudio - Rajkot Mall 1,Rajkot,Gujarat,2,9322855666,store1@zudio.in,2018-02-18,3112,22
2,Zudio - Kolkata Mall 2,Kolkata,West Bengal,3,8445813310,store2@zudio.in,2018-08-22,3000,12
3,Zudio - Noida Central 3,Noida,Uttar Pradesh,2,9525735062,store3@zudio.in,2026-01-14,2709,32
4,Zudio - Udaipur Central 4,Udaipur,Rajasthan,3,7745920608,store4@zudio.in,2022-12-03,4298,32
5,Zudio - Pune Mall 5,Pune,Maharashtra,2,,store5@zudio.in,2023-02-18,2302,13
6,Zudio - Tiruchirapalli Central 6,Tiruchirapalli,Tamil Nadu,3,9025466268,store6@zudio.in,2019-01-24,3484,14
7,Zudio - Ahmedabad Mall 7,Ahmedabad,Gujarat,1,9088962546,store7@zudio.in,2023-12-11,4236,34
8,Zudio - Hubli Central 8,Hubli,Karnataka,3,9771239916,store8@zudio.in,2021-07-29,3168,22
9,Zudio - Durgapur Central 9,Durgapur,West Bengal,1,8702840370,store9@zudio.in,2025-09-06,3479,25
10,Zudio - Rohini Central 10,Rohini,Delhi,2,8714256624,store10@zudio.in,2023-08-12,2451,10
11,Zudio - Agra Central 11,Agra,Uttar Pradesh,2,9713743345,store11@zudio.in,2021-09-23,3468,19
12,Zudio - Kolhapur Central 12,  Kolhapur  ,Maharashtra,2,7866236749,store12@zudio.in,2021-04-22,2953,25
13,Zudio - Surat Mall 13,Surat,Gujarat,1,7515876908,store13@zudio.in,2026-01-19,2665,24
14,Zudio - Kolhapur Mall 14,Kolhapur,Maharashtra,2,9285722868,store14@zudio.in,2021-02-18,4165,24
15,Zudio - Mysuru Central 15,Mysuru,Karnataka,2,8467012753,store15@zudio.in,2025-06-11,2069,29
16,Zudio - Rohini Mall 16,Rohini,Delhi,3,9902760270,store16@zudio.in,2025-06-13,1630,20
17,Zudio - Mysuru Central 17,Mysuru,Karnataka,3,8114877308,store17@zudio.in,2020-07-24,3507,24
18,Zudio - Howrah Central 18,Howrah,West Bengal,2,8039452924,store18@zudio.in,2020-06-05,3175,13
19,Zudio - Jodhpur Mall 19,Jodhpur,Rajasthan,2,9283391508,store19@zudio.in,2018-07-22,3956,27
20,Zudio - Nagpur Central 20,Nagpur,Maharashtra,2,9109243067,store20@zudio.in,2018-01-01,2599,9
21,Zudio - Mysuru Central 21,Mysuru,Karnataka,3,9191147378,store21@zudio.in,2025-09-30,2402,25
22,Zudio - Nagpur Mall 22,Nagpur,Maharashtra,1,8074128299,store22@zudio.in,2023-03-22,3462,22
23,Zudio - Durgapur Central 23,Durgapur,West Bengal,2,9511912198,store23@zudio.in,2022-02-22,2688,30
24,Zudio - Ghaziabad Central 24,Ghaziabad,Uttar Pradesh,2,7584343772,store24@zudio.in,2022-04-01,2993,29
25,Zudio - Pune Mall 25,Pune,Maharashtra,1,9247378670,store25@zudio.in,2026-02-10,2239,13
26,Zudio - Mangaluru Central 26,Mangaluru,Karnataka,2,8825158694,store26@zudio.in,2018-07-23,3965,23
27,Zudio - Lucknow Central 27,Lucknow,Uttar Pradesh,2,7729794664,store27@zudio.in,2018-08-15,2294,21
28,Zudio - Jodhpur Central 28,Jodhpur,Rajasthan,2,8504095967,store28@zudio.in,2023-07-20,3660,25
29,Zudio - Salem Mall 29,Salem,Tamil Nadu,1,9345250009,store29@zudio.in,2023-01-27,3631,9
30,Zudio - Howrah Mall 30,Howrah,West Bengal,3,9850247473,store30@zudio.in,2018-01-31,3100,25
31,Zudio - Noida Central 31,Noida,Uttar Pradesh,2,8647979609,store31@zudio.in,2025-01-22,3762,34
32,Zudio - Durgapur Mall 32,Durgapur,West Bengal,2,7838996359,store32@zudio.in,2023-09-14,3793,13
33,Zudio - New Delhi Central 33,New Delhi,Delhi,1,7854658539,store33@zudio.in,2026-01-13,2589,13
34,Zudio - Rohini Central 34,Rohini,Delhi,3,8853733384,store34@zudio.in,2025-09-23,2398,25
35,Zudio - Bengaluru Central 35,Bengaluru,Karnataka,2,7390844162,store35@zudio.in,2022-03-03,3884,24
36,Zudio - Salem Central 36,Salem,Tamil Nadu,3,9786949385,store36@zudio.in,2021-11-16,2659,24
37,Zudio - Siliguri Mall 37,Siliguri,West Bengal,2,9257617837,store37@zudio.in,2021-07-30,2209,25
38,Zudio - Aurangabad Mall 38,Aurangabad,Maharashtra,2,7143714384,store38@zudio.in,2021-06-23,4516,34
39,Zudio - Howrah Central 39,Howrah,West Bengal,3,8850695836,store39@zudio.in,2021-01-15,4423,19
40,Zudio - Dwarka Central 40,Dwarka,Delhi,3,9774785415,store40@zudio.in,2018-03-01,1294,22
41,Zudio - Howrah Mall 41,Howrah,West Bengal,3,9836014829,store41@zudio.in,2018-05-24,3031,16
